150,,,,,,İlk Madde ve Malzemeler 
150,01,,,,,Kırtasiye Malzemeleri Grubu
150,01,01,,,,Yazı Araçları 
150,01,01,01,,,Roller Kalemler 
150,01,01,02,,,Kalem Takımları
150,01,01,03,,,Mürekkepli (Dolma) Kalemler
150,01,01,04,,,Tükenmez Kalemler 
150,01,01,05,,,Mekanizmalı (Mekanik) Kalemler
150,01,01,06,,,Kurşun Kalemler
150,01,01,07,,,İşaretleme Kalemleri ve Fosforlu Kalemler
150,01,01,08,,,Boya Kalemleri
150,01,01,08,01,,Su Bazlı Boya Kalemleri
150,01,01,08,02,,Çözücü Bazlı Boya Kalemleri
150,01,01,08,03,,Yıkanınca Çıkan Boya Kalemleri
150,01,01,08,04,,Güzel Yazı İçin Boya Kalemleri
150,01,01,08,05,,Kumaşa Yazabilen Boya Kalemleri
150,01,01,08,06,,Metale Yazabilen Boya Kalemleri
150,01,01,08,07,,Balmumu Bazlı Mum Boyalar
150,01,01,08,08,,Soya Yağı Bazlı Mum Boyalar
150,01,01,08,09,,Özellikli Mum Boyalar
150,01,01,08,10,,Suluboya Mum Boyalar
150,01,01,08,11,,Kuru Pastel Boyalar
150,01,01,08,12,,Tebeşir Pastel Boyalar
150,01,01,08,13,,Yağlı Pastel Boyalar
150,01,01,08,99,,Diğer Boya Kalemleri
150,01,01,09,,,Çizim Kalemleri
150,01,01,09,01,,Sıkıştırılmış Karakalemler
150,01,01,09,02,,Doldurulmuş Karakalemler
150,01,01,09,03,,Grafit Kalemler
150,01,01,09,04,,Balmumu Bazlı Renkli Çizim Kalemleri
150,01,01,09,99,,Diğer Çizim Kalemleri
150,01,01,10,,,Teknik Çizim Kalemleri
150,01,01,11,,,Asetat Kalemleri
150,01,01,12,,,Kopyatif Kalemler
150,01,01,13,,,CD Kalemleri
150,01,01,14,,,Koli Kalemleri
150,01,01,15,,,Para Kontrol Kalemleri
150,01,01,16,,,Yazı Tahtası Kalemleri
150,01,01,17,,,Yazı Tebeşirleri
150,01,01,18,,,İşaretleme Kalemleri İç Yedekleri
150,01,01,19,,,Kurşun Kalem ve Tükenmez Kalem İç Yedekleri
150,01,01,20,,,Baskı ve Çizim Mürekkepleri
150,01,01,20,01,,Dolmakalem Mürekkepleri
150,01,01,20,02,,Istampa Mürekkepleri
150,01,01,20,03,,Su Bazlı Poster Mürekkepleri
150,01,01,20,04,,Su Bazlı Akrilik Mürekkepleri
150,01,01,20,05,,Yağ Bazlı İpek Kağıt Mürekkepleri
150,01,01,20,06,,Su Bazlı Dokuma Mürekkepleri
150,01,01,20,07,,Yağ Bazlı Dokuma Mürekkepleri
150,01,01,20,08,,Süblime Baskı Mürekkepleri
150,01,01,20,09,,Yağ Bazlı Oyma veya Taş Baskı Mürekkepleri
150,01,01,20,10,,Yağ Bazlı Tek Baskı Mürekkepleri
150,01,01,20,11,,Su Bazlı Tek Baskı Mürekkepleri
150,01,01,20,12,,Su Bazlı Çizim Mürekkepleri
150,01,01,20,13,,Çözücü Bazlı Çizim Mürekkepleri
150,01,01,20,14,,Güzel Yazı Çizim Mürekkepleri
150,01,01,20,15,,İpek Kağıt Mürekkepleri
150,01,01,20,16,,Taş Baskı Vernikleri
150,01,01,20,17,,Divit ve Aksesuarları
150,01,01,20,99,,Diğer Baskı ve Çizim Mürekkepleri
150,01,01,99,,,Diğer Yazı Araçları
150,01,02,,,,"Yazım, Çizim ve Ölçüm Araç ve Malzemeleri "
150,01,02,01,,,Yazı Şablonları
150,01,02,02,,,Güzel Yazı Setleri
150,01,02,03,,,Pergel Takımları
150,01,02,04,,,Gönye Takımları
150,01,02,05,,,Çizim Saptayıcıları
150,01,02,06,,,Çizim Örtüleri
150,01,02,07,,,Teknik Çizim Setleri
150,01,02,08,,,Kalem Tutacakları
150,01,02,09,,,Cetveller
150,01,02,10,,,Şerit Metreler
150,01,02,99,,,"Diğer Yazım, Çizim ve Ölçüm Araç ve Malzemeleri"
150,01,03,,,,Kağıt Ürünler
150,01,03,01,,,Baskı ve Yazı Kağıtları
150,01,03,01,01,,Ham ve Hamur Kağıtlar
150,01,03,01,02,,Baskı Kağıtları
150,01,03,01,03,,Yazı  Kağıtları
150,01,03,01,04,,Basılı  Kağıtlar
150,01,03,01,05,,Baskısız Bilgisayar Formları
150,01,03,01,06,,Daktilo  Kağıtları
150,01,03,01,07,,Faks  Kağıtları
150,01,03,01,08,,Karbon  Kağıtları
150,01,03,01,09,,Mumlu  Kağıtları
150,01,03,01,10,,Çizim  Kağıtları
150,01,03,01,11,,Yapışkanlı (Postit) Not  Kağıtları
